CFT,MAGic Term,Default,,,,,,,,,,,,,,,,
,WindowClasses._AOL_ListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses._AOL_Edit,Edit,,,,,,,,,,,,,,,,
,WindowClasses._AOL_Glyph,"Graphic ; maybe better as ""button""",,,,,,,,,,,,,,,,
,WindowClasses._AOL_Icon,Button,,,,,,,,,,,,,,,,
,WindowClasses._AOL_ComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses._AOL_Static,Static ; prompts for e-mail, etc.,,,,,,,,,,,,,,,
,WindowClasses._AOL_View,Static ; flash sessions descriptions," maybe ""edit""",,,,,,,,,,,,,,,
,WindowClasses._AOL_Tree,ListBox ; e-mail list,,,,,,,,,,,,,,,,
,WindowClasses.Photon.ProgressBar,msctls_progress32,,,,,,,,,,,,,,,,
,WindowClasses.ListViewWndClass,ListView,,,,,,,,,,,,,,,,
,WindowClasses.SSTabCtlWndClass,TabControl,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5ComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.SunAwtDialog,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.SWT_GROUP,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.MsiDialogCloseClass,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.MsiDialogNoCloseClass,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.BlockedShutdownResolver,Dialog,,,,,,,,,,,,,,,,
MSAAClasses,MSAAClasses.SysListView32,0,,,,,,,,,,,,,,,,
,MSAAClasses.ComboLBox,1,,,,,,,,,,,,,,,,
options,options.KeyLayerSound,KeyLayerSound.wav,,,,,,,,,,,,,,,,
,options.TableLayerExitSound,TableLayerExit.wav,,,,,,,,,,,,,,,,
,options.EnableDocumentReadingHighlighting,2,,,,,,,,,,,,,,,,
,options.UseTextServicesFrameworkForInputLanguageDetection,1,,,,,,,,,,,,,,,,
,options.SpellAlphanumericData,0,,,,,,,,,,,,,,,,
,options.SmartWordReading,1,,,,,,,,,,,,,,,,
,options.SmartWordReadingRule,SmartWordReadingDefault,,,,,,,,,,,,,,,,
,options.MaintainFindHistory,1,,,,,,,,,,,,,,,,
,options.KeyboardType,MAGUtil,,,,,,,,,,,,,,,,
,options.DocReadingPauseDuration,500,,,,,,,,,,,,,,,,
,options.MSAAAlerts,3,,,,,,,,,,,,,,,,
,options.TopAndBottomEdgeAlert,1,,,,,,,,,,,,,,,,
